"","DATE","HOUR","STATION","FSP","NO2","NOX","O3","RSP","SO2"
"85255","2/4/15",7,"CENTRAL/WESTERN",47,28,28,45,58,5
"85256","2/4/15",8,"CENTRAL/WESTERN",49,43,45,34,63,7
"85257","2/4/15",9,"CENTRAL/WESTERN",53,54,59,26,66,5
"85258","2/4/15",10,"CENTRAL/WESTERN",57,66,76,16,70,8
"85259","2/4/15",11,"CENTRAL/WESTERN",61,64,84,14,76,16
"85260","2/4/15",12,"CENTRAL/WESTERN",62,67,87,11,78,6
"85261","2/4/15",13,"CENTRAL/WESTERN",65,78,115,4,83,11
"85262","2/4/15",14,"CENTRAL/WESTERN",80,79,121,4,99,12
"85263","2/4/15",15,"CENTRAL/WESTERN",76,80,114,13,96,8
"85264","2/4/15",16,"CENTRAL/WESTERN",82,93,134,10,103,18
"85265","2/4/15",17,"CENTRAL/WESTERN",101,106,167,5,131,21
"85266","2/4/15",18,"CENTRAL/WESTERN",99,114,159,9,131,16
"85267","2/4/15",19,"CENTRAL/WESTERN",76,103,135,4,110,7
"85268","2/4/15",20,"CENTRAL/WESTERN",59,80,100,5,94,7
"85269","2/4/15",21,"CENTRAL/WESTERN",53,69,83,5,85,6
"85270","2/4/15",22,"CENTRAL/WESTERN",45,67,91,3,71,5
"85271","2/4/15",23,"CENTRAL/WESTERN",40,64,85,3,61,5
"85272","2/4/15",24,"CENTRAL/WESTERN",37,62,79,5,52,4
"85273","3/4/15",1,"CENTRAL/WESTERN",38,55,135,1,47,21
"85274","3/4/15",2,"CENTRAL/WESTERN",24,50,105,1,31,11
"85275","3/4/15",3,"CENTRAL/WESTERN",26,47,98,1,34,8
"85276","3/4/15",4,"CENTRAL/WESTERN",24,43,68,1,32,11
"85277","3/4/15",5,"CENTRAL/WESTERN",23,44,90,1,32,12
"85278","3/4/15",6,"CENTRAL/WESTERN",23,43,99,1,34,27
"85279","3/4/15",7,"CENTRAL/WESTERN",24,44,123,1,34,21
"85280","3/4/15",8,"CENTRAL/WESTERN",26,54,142,2,40,7
"85281","3/4/15",9,"CENTRAL/WESTERN",25,45,68,7,35,3
"85282","3/4/15",10,"CENTRAL/WESTERN",18,46,75,6,23,2
"85283","3/4/15",11,"CENTRAL/WESTERN",18,52,71,12,25,4
"85284","3/4/15",12,"CENTRAL/WESTERN",16,52,62,26,25,2
"85286","3/4/15",14,"CENTRAL/WESTERN",16,42,49,45,26,1
"85287","3/4/15",15,"CENTRAL/WESTERN",22,45,52,45,33,1
"85288","3/4/15",16,"CENTRAL/WESTERN",19,47,53,44,29,1
"85289","3/4/15",17,"CENTRAL/WESTERN",20,52,58,38,27,1
"85290","3/4/15",18,"CENTRAL/WESTERN",22,47,50,42,31,1
"85291","3/4/15",19,"CENTRAL/WESTERN",28,50,52,39,39,2
"85292","3/4/15",20,"CENTRAL/WESTERN",27,44,47,42,37,1
"85293","3/4/15",21,"CENTRAL/WESTERN",34,42,44,42,46,1
"85294","3/4/15",22,"CENTRAL/WESTERN",47,39,40,44,61,2
"85295","3/4/15",23,"CENTRAL/WESTERN",42,30,31,52,55,1
"85296","3/4/15",24,"CENTRAL/WESTERN",37,26,27,54,50,1
"85297","4/4/15",1,"CENTRAL/WESTERN",13,21,23,27,20,9
"85298","4/4/15",2,"CENTRAL/WESTERN",14,11,12,35,20,7
"85299","4/4/15",3,"CENTRAL/WESTERN",12,10,11,35,17,6
"85300","4/4/15",4,"CENTRAL/WESTERN",16,13,14,31,22,8
"85301","4/4/15",5,"CENTRAL/WESTERN",14,7,8,37,19,8
"85302","4/4/15",6,"CENTRAL/WESTERN",13,7,8,38,18,8
"85303","4/4/15",7,"CENTRAL/WESTERN",12,9,10,36,18,8
"85304","4/4/15",8,"CENTRAL/WESTERN",11,17,22,28,16,7
"85305","4/4/15",9,"CENTRAL/WESTERN",11,12,16,35,17,8
"85306","4/4/15",10,"CENTRAL/WESTERN",12,16,24,36,17,12
"85307","4/4/15",11,"CENTRAL/WESTERN",12,16,23,40,18,11
"85308","4/4/15",12,"CENTRAL/WESTERN",11,12,17,46,17,8
"85309","4/4/15",13,"CENTRAL/WESTERN",14,16,22,43,20,7
"85310","4/4/15",14,"CENTRAL/WESTERN",15,13,17,45,20,7
"85311","4/4/15",15,"CENTRAL/WESTERN",14,12,16,44,19,8
"85312","4/4/15",16,"CENTRAL/WESTERN",15,16,21,41,21,9
"85313","4/4/15",17,"CENTRAL/WESTERN",18,16,22,41,23,8
"85314","4/4/15",18,"CENTRAL/WESTERN",13,14,17,42,20,9
"85315","4/4/15",19,"CENTRAL/WESTERN",16,14,16,41,22,8
"85316","4/4/15",20,"CENTRAL/WESTERN",16,18,20,37,21,8
"85317","4/4/15",21,"CENTRAL/WESTERN",13,19,21,36,18,8
"85318","4/4/15",22,"CENTRAL/WESTERN",15,21,25,39,21,8
"85319","4/4/15",23,"CENTRAL/WESTERN",14,18,19,43,20,7
"85320","4/4/15",24,"CENTRAL/WESTERN",13,19,20,42,19,6
"85321","5/4/15",1,"CENTRAL/WESTERN",11,14,14,34,18,15
"85322","5/4/15",2,"CENTRAL/WESTERN",11,15,15,33,17,15
"85323","5/4/15",3,"CENTRAL/WESTERN",13,15,15,34,19,13
"85324","5/4/15",4,"CENTRAL/WESTERN",12,5,5,45,18,10
"85325","5/4/15",5,"CENTRAL/WESTERN",12,6,6,43,17,10
"85326","5/4/15",6,"CENTRAL/WESTERN",12,8,8,42,18,10
"85327","5/4/15",7,"CENTRAL/WESTERN",11,20,22,32,17,17
"85328","5/4/15",8,"CENTRAL/WESTERN",9,26,36,26,15,13
"85329","5/4/15",9,"CENTRAL/WESTERN",12,29,45,24,18,22
"85330","5/4/15",10,"CENTRAL/WESTERN",12,27,43,29,18,15
"85331","5/4/15",11,"CENTRAL/WESTERN",12,19,30,33,22,14
"85332","5/4/15",12,"CENTRAL/WESTERN",14,42,85,20,24,45
"85333","5/4/15",13,"CENTRAL/WESTERN",18,41,72,24,27,54
"85334","5/4/15",14,"CENTRAL/WESTERN",15,41,75,26,25,38
"85335","5/4/15",15,"CENTRAL/WESTERN",14,41,77,22,24,51
"85336","5/4/15",16,"CENTRAL/WESTERN",16,40,76,23,27,73
"85337","5/4/15",17,"CENTRAL/WESTERN",15,28,39,35,25,28
"85338","5/4/15",18,"CENTRAL/WESTERN",13,21,25,35,22,17
"85339","5/4/15",19,"CENTRAL/WESTERN",12,21,24,35,20,13
"85340","5/4/15",20,"CENTRAL/WESTERN",13,19,20,38,20,12
"85341","5/4/15",21,"CENTRAL/WESTERN",10,12,14,41,16,10
"85342","5/4/15",22,"CENTRAL/WESTERN",10,12,12,41,17,12
"85343","5/4/15",23,"CENTRAL/WESTERN",11,13,13,39,17,11
"85344","5/4/15",24,"CENTRAL/WESTERN",10,18,19,33,16,12
"85345","6/4/15",1,"CENTRAL/WESTERN",10,15,17,25,16,12
"85346","6/4/15",2,"CENTRAL/WESTERN",7,10,10,33,13,11
"85347","6/4/15",3,"CENTRAL/WESTERN",9,11,11,29,14,13
"85348","6/4/15",4,"CENTRAL/WESTERN",8,6,6,33,12,14
"85349","6/4/15",5,"CENTRAL/WESTERN",5,7,8,31,9,12
"85350","6/4/15",6,"CENTRAL/WESTERN",8,16,19,23,13,12
"85352","6/4/15",8,"CENTRAL/WESTERN",4,21,36,24,9,14
"85353","6/4/15",9,"CENTRAL/WESTERN",6,21,39,24,11,18
"85354","6/4/15",10,"CENTRAL/WESTERN",9,19,36,29,16,19
"85355","6/4/15",11,"CENTRAL/WESTERN",9,15,25,37,16,17
"85356","6/4/15",12,"CENTRAL/WESTERN",10,13,21,43,17,11
"85357","6/4/15",13,"CENTRAL/WESTERN",12,12,19,46,19,11
"85358","6/4/15",14,"CENTRAL/WESTERN",9,13,22,44,16,10
"85359","6/4/15",15,"CENTRAL/WESTERN",11,11,19,42,18,10
"85360","6/4/15",16,"CENTRAL/WESTERN",10,13,21,38,18,8
"85361","6/4/15",17,"CENTRAL/WESTERN",12,18,29,36,19,12
"85362","6/4/15",18,"CENTRAL/WESTERN",12,20,31,30,18,13
"85363","6/4/15",19,"CENTRAL/WESTERN",9,20,26,24,13,14
"85364","6/4/15",20,"CENTRAL/WESTERN",9,17,22,25,15,20
"85365","6/4/15",21,"CENTRAL/WESTERN",10,14,18,28,15,15
"85366","6/4/15",22,"CENTRAL/WESTERN",9,16,19,23,13,15
"85367","6/4/15",23,"CENTRAL/WESTERN",9,16,19,25,13,11
"85368","6/4/15",24,"CENTRAL/WESTERN",7,10,12,31,12,9
"85369","7/4/15",1,"CENTRAL/WESTERN",16,18,19,52,30,15
"85370","7/4/15",2,"CENTRAL/WESTERN",16,14,16,62,29,12
"85371","7/4/15",3,"CENTRAL/WESTERN",14,11,12,58,26,12
"85372","7/4/15",4,"CENTRAL/WESTERN",14,16,16,52,26,12
"85373","7/4/15",5,"CENTRAL/WESTERN",13,11,12,57,25,12
"85374","7/4/15",6,"CENTRAL/WESTERN",15,12,12,55,28,14
"85375","7/4/15",7,"CENTRAL/WESTERN",17,44,58,21,29,22
"85376","7/4/15",8,"CENTRAL/WESTERN",17,43,71,27,32,18
"85377","7/4/15",9,"CENTRAL/WESTERN",16,50,87,24,31,17
"85378","7/4/15",10,"CENTRAL/WESTERN",20,21,28,55,35,16
"85379","7/4/15",11,"CENTRAL/WESTERN",15,20,28,58,28,16
"85380","7/4/15",12,"CENTRAL/WESTERN",16,24,31,62,31,15
"85381","7/4/15",13,"CENTRAL/WESTERN",18,18,23,70,32,16
"85382","7/4/15",14,"CENTRAL/WESTERN",16,19,25,70,27,15
"85383","7/4/15",15,"CENTRAL/WESTERN",17,25,33,62,29,19
"85384","7/4/15",16,"CENTRAL/WESTERN",17,31,41,53,31,20
"85385","7/4/15",17,"CENTRAL/WESTERN",18,30,39,48,32,22
"85386","7/4/15",18,"CENTRAL/WESTERN",16,18,21,63,28,18
"85387","7/4/15",19,"CENTRAL/WESTERN",13,27,31,47,23,22
"85388","7/4/15",20,"CENTRAL/WESTERN",11,25,28,46,22,16
"85389","7/4/15",21,"CENTRAL/WESTERN",13,32,35,31,24,20
"85390","7/4/15",22,"CENTRAL/WESTERN",13,25,28,37,24,17
"85391","7/4/15",23,"CENTRAL/WESTERN",10,15,15,49,21,17
"85392","7/4/15",24,"CENTRAL/WESTERN",13,13,14,46,23,16
"85393","8/4/15",1,"CENTRAL/WESTERN",19,62,117,0,26,10
"85394","8/4/15",2,"CENTRAL/WESTERN",17,60,117,0,23,6
"85395","8/4/15",3,"CENTRAL/WESTERN",15,55,86,0,21,5
"85396","8/4/15",4,"CENTRAL/WESTERN",13,42,53,6,18,6
"85397","8/4/15",5,"CENTRAL/WESTERN",13,47,84,0,17,14
"85398","8/4/15",6,"CENTRAL/WESTERN",17,50,137,0,23,31
"85399","8/4/15",7,"CENTRAL/WESTERN",18,47,104,0,24,23
"85400","8/4/15",8,"CENTRAL/WESTERN",14,44,104,4,19,17
"85401","8/4/15",9,"CENTRAL/WESTERN",12,42,90,5,17,14
"85402","8/4/15",10,"CENTRAL/WESTERN",15,42,88,7,22,8
"85403","8/4/15",11,"CENTRAL/WESTERN",17,45,91,7,26,12
"85404","8/4/15",12,"CENTRAL/WESTERN",17,45,84,10,27,14
"85405","8/4/15",13,"CENTRAL/WESTERN",19,46,80,18,27,21
"85406","8/4/15",14,"CENTRAL/WESTERN",19,38,56,37,26,8
"85407","8/4/15",15,"CENTRAL/WESTERN",20,42,64,36,29,8
"85408","8/4/15",16,"CENTRAL/WESTERN",16,45,65,37,25,9
"85409","8/4/15",17,"CENTRAL/WESTERN",18,44,61,33,28,10
"85410","8/4/15",18,"CENTRAL/WESTERN",17,44,57,25,26,8
"85411","8/4/15",19,"CENTRAL/WESTERN",16,66,96,6,25,10
"85412","8/4/15",20,"CENTRAL/WESTERN",18,61,80,8,26,11
"85413","8/4/15",21,"CENTRAL/WESTERN",15,56,79,10,21,11
"85414","8/4/15",22,"CENTRAL/WESTERN",17,80,180,0,25,11
"85415","8/4/15",23,"CENTRAL/WESTERN",16,77,162,0,27,9
"85416","8/4/15",24,"CENTRAL/WESTERN",19,59,100,1,27,16
"85417","9/4/15",1,"CENTRAL/WESTERN",10,26,36,4,15,4
"85418","9/4/15",2,"CENTRAL/WESTERN",9,27,36,3,14,7
"85419","9/4/15",3,"CENTRAL/WESTERN",9,16,18,10,14,4
"85420","9/4/15",4,"CENTRAL/WESTERN",7,22,26,7,10,2
"85421","9/4/15",5,"CENTRAL/WESTERN",5,16,17,11,9,1
"85422","9/4/15",6,"CENTRAL/WESTERN",6,25,38,3,10,1
"85423","9/4/15",7,"CENTRAL/WESTERN",7,29,67,1,12,3
"85424","9/4/15",8,"CENTRAL/WESTERN",10,31,100,2,15,8
"85425","9/4/15",9,"CENTRAL/WESTERN",13,45,257,2,21,29
"85426","9/4/15",10,"CENTRAL/WESTERN",20,51,238,1,33,8
"85427","9/4/15",11,"CENTRAL/WESTERN",18,45,173,3,31,13
"85428","9/4/15",12,"CENTRAL/WESTERN",16,41,97,13,28,3
"85429","9/4/15",13,"CENTRAL/WESTERN",14,57,133,6,27,3
"85430","9/4/15",14,"CENTRAL/WESTERN",15,36,74,21,29,2
"85431","9/4/15",15,"CENTRAL/WESTERN",8,16,24,37,17,1
"85432","9/4/15",16,"CENTRAL/WESTERN",10,19,30,33,18,1
"85433","9/4/15",17,"CENTRAL/WESTERN",12,22,33,29,19,2
"85434","9/4/15",18,"CENTRAL/WESTERN",11,22,29,29,18,2
"85435","9/4/15",19,"CENTRAL/WESTERN",11,31,38,21,18,3
"85436","9/4/15",20,"CENTRAL/WESTERN",8,21,23,24,14,2
"85437","9/4/15",21,"CENTRAL/WESTERN",10,41,60,9,16,5
"85438","9/4/15",22,"CENTRAL/WESTERN",11,51,114,2,19,8
"85439","9/4/15",23,"CENTRAL/WESTERN",16,40,83,6,24,8
"85440","9/4/15",24,"CENTRAL/WESTERN",12,19,24,18,18,3
"85441","10/4/15",1,"CENTRAL/WESTERN",4,14,14,42,12,6
"85447","10/4/15",7,"CENTRAL/WESTERN",6,12,12,45,15,8
"85448","10/4/15",8,"CENTRAL/WESTERN",6,15,15,41,16,8
"85450","10/4/15",10,"CENTRAL/WESTERN",4,13,15,42,12,6
"85451","10/4/15",11,"CENTRAL/WESTERN",8,16,21,39,19,6
"85452","10/4/15",12,"CENTRAL/WESTERN",10,20,26,35,21,11
"85453","10/4/15",13,"CENTRAL/WESTERN",7,20,24,37,18,10
"85454","10/4/15",14,"CENTRAL/WESTERN",11,18,22,39,22,9
"85455","10/4/15",15,"CENTRAL/WESTERN",10,21,25,35,21,10
"85456","10/4/15",16,"CENTRAL/WESTERN",8,22,25,33,19,8
"85457","10/4/15",17,"CENTRAL/WESTERN",10,23,26,32,20,9
"85458","10/4/15",18,"CENTRAL/WESTERN",11,22,25,34,22,6
"85459","10/4/15",19,"CENTRAL/WESTERN",9,22,25,33,20,8
"85460","10/4/15",20,"CENTRAL/WESTERN",13,22,25,33,24,8
"85461","10/4/15",21,"CENTRAL/WESTERN",14,18,20,34,24,7
"85462","10/4/15",22,"CENTRAL/WESTERN",14,16,18,32,25,7
"85463","10/4/15",23,"CENTRAL/WESTERN",11,14,16,30,21,7
"85464","10/4/15",24,"CENTRAL/WESTERN",11,12,13,32,21,6
"85465","11/4/15",1,"CENTRAL/WESTERN",43,21,22,128,64,5
"85466","11/4/15",2,"CENTRAL/WESTERN",42,15,15,127,63,6
"85467","11/4/15",3,"CENTRAL/WESTERN",41,14,14,121,62,7
"85468","11/4/15",4,"CENTRAL/WESTERN",43,13,13,121,64,5
"85469","11/4/15",5,"CENTRAL/WESTERN",43,15,15,120,64,7
"85470","11/4/15",6,"CENTRAL/WESTERN",42,16,16,116,64,5
"85471","11/4/15",7,"CENTRAL/WESTERN",43,28,28,97,64,5
"85472","11/4/15",8,"CENTRAL/WESTERN",43,42,45,74,62,9
"85473","11/4/15",9,"CENTRAL/WESTERN",39,44,48,70,58,7
"85474","11/4/15",10,"CENTRAL/WESTERN",41,50,57,68,60,7
"85475","11/4/15",11,"CENTRAL/WESTERN",44,42,50,79,63,5
"85476","11/4/15",12,"CENTRAL/WESTERN",29,36,43,75,42,2
"85477","11/4/15",13,"CENTRAL/WESTERN",20,34,40,83,30,1
"85478","11/4/15",14,"CENTRAL/WESTERN",22,33,38,96,32,2
"85479","11/4/15",15,"CENTRAL/WESTERN",28,41,46,99,39,4
"85480","11/4/15",16,"CENTRAL/WESTERN",30,52,57,91,44,4
"85481","11/4/15",17,"CENTRAL/WESTERN",33,69,74,77,49,2
"85482","11/4/15",18,"CENTRAL/WESTERN",36,66,67,84,53,2
"85483","11/4/15",19,"CENTRAL/WESTERN",37,73,74,72,55,4
"85484","11/4/15",20,"CENTRAL/WESTERN",36,53,54,82,51,10
"85485","11/4/15",21,"CENTRAL/WESTERN",35,51,52,84,49,13
"85486","11/4/15",22,"CENTRAL/WESTERN",38,49,50,72,52,15
"85487","11/4/15",23,"CENTRAL/WESTERN",24,30,31,79,36,11
"85488","11/4/15",24,"CENTRAL/WESTERN",19,31,31,77,29,10
"85489","12/4/15",1,"CENTRAL/WESTERN",25,25,26,33,40,5
"85490","12/4/15",2,"CENTRAL/WESTERN",23,22,23,31,36,4
"85491","12/4/15",3,"CENTRAL/WESTERN",21,22,23,29,33,4
"85492","12/4/15",4,"CENTRAL/WESTERN",22,19,19,32,32,4
"85493","12/4/15",5,"CENTRAL/WESTERN",21,19,19,31,32,4
"85494","12/4/15",6,"CENTRAL/WESTERN",19,19,20,30,28,3
"85495","12/4/15",7,"CENTRAL/WESTERN",15,28,31,21,24,3
"85496","12/4/15",8,"CENTRAL/WESTERN",15,40,56,13,25,5
"85497","12/4/15",9,"CENTRAL/WESTERN",16,42,69,14,26,5
"85498","12/4/15",10,"CENTRAL/WESTERN",16,42,71,21,26,4
"85499","12/4/15",11,"CENTRAL/WESTERN",13,42,70,23,24,4
"85500","12/4/15",12,"CENTRAL/WESTERN",14,41,65,28,28,5
"85501","12/4/15",13,"CENTRAL/WESTERN",18,40,56,36,32,4
"85502","12/4/15",14,"CENTRAL/WESTERN",19,39,54,41,31,3
"85503","12/4/15",15,"CENTRAL/WESTERN",20,38,50,46,34,3
"85504","12/4/15",16,"CENTRAL/WESTERN",18,39,46,44,31,4
"85505","12/4/15",17,"CENTRAL/WESTERN",20,54,63,28,34,3
"85506","12/4/15",18,"CENTRAL/WESTERN",19,53,60,26,33,3
"85507","12/4/15",19,"CENTRAL/WESTERN",20,58,67,16,32,3
"85508","12/4/15",20,"CENTRAL/WESTERN",19,56,67,14,31,5
"85509","12/4/15",21,"CENTRAL/WESTERN",21,48,53,23,33,4
"85510","12/4/15",22,"CENTRAL/WESTERN",20,41,45,22,33,4
"85511","12/4/15",23,"CENTRAL/WESTERN",21,36,40,26,33,4
"85512","12/4/15",24,"CENTRAL/WESTERN",23,31,32,43,37,4
"85528","1/5/15",16,"CENTRAL/WESTERN",11,69,81,24,29,6
"85537","2/5/15",1,"CENTRAL/WESTERN",29,54,62,8,39,3
"85538","2/5/15",2,"CENTRAL/WESTERN",27,48,53,9,37,3
"85539","2/5/15",3,"CENTRAL/WESTERN",26,34,35,18,34,3
"85540","2/5/15",4,"CENTRAL/WESTERN",23,26,26,23,30,3
"85541","2/5/15",5,"CENTRAL/WESTERN",21,23,23,23,28,3
"85542","2/5/15",6,"CENTRAL/WESTERN",24,25,26,21,30,4
"85543","2/5/15",7,"CENTRAL/WESTERN",23,34,37,15,28,3
"85544","2/5/15",8,"CENTRAL/WESTERN",21,52,78,5,27,11
"85545","2/5/15",9,"CENTRAL/WESTERN",27,59,106,4,36,5
"85546","2/5/15",10,"CENTRAL/WESTERN",30,65,126,4,45,12
"85547","2/5/15",11,"CENTRAL/WESTERN",31,66,121,6,45,9
"85548","2/5/15",12,"CENTRAL/WESTERN",38,63,121,9,53,5
"85549","2/5/15",13,"CENTRAL/WESTERN",36,57,91,16,50,5
"85550","2/5/15",14,"CENTRAL/WESTERN",38,61,95,22,51,6
"85551","2/5/15",15,"CENTRAL/WESTERN",44,63,86,28,60,5
"85552","2/5/15",16,"CENTRAL/WESTERN",49,69,90,27,64,9
"85553","2/5/15",17,"CENTRAL/WESTERN",45,80,98,23,64,7
"85554","2/5/15",18,"CENTRAL/WESTERN",49,86,100,18,69,7
"85555","2/5/15",19,"CENTRAL/WESTERN",53,91,105,9,77,8
"85556","2/5/15",20,"CENTRAL/WESTERN",58,83,95,12,82,10
"85557","2/5/15",21,"CENTRAL/WESTERN",58,72,78,16,79,16
"85558","2/5/15",22,"CENTRAL/WESTERN",61,67,75,16,78,15
"85559","2/5/15",23,"CENTRAL/WESTERN",60,58,60,19,75,8
"85560","2/5/15",24,"CENTRAL/WESTERN",57,58,63,16,70,8
"85561","3/5/15",1,"CENTRAL/WESTERN",36,25,25,54,47,1
"85562","3/5/15",2,"CENTRAL/WESTERN",36,19,19,56,48,1
"85563","3/5/15",3,"CENTRAL/WESTERN",37,16,16,60,51,1
"85564","3/5/15",4,"CENTRAL/WESTERN",34,12,12,66,46,1
"85565","3/5/15",5,"CENTRAL/WESTERN",24,14,14,64,34,1
"85566","3/5/15",6,"CENTRAL/WESTERN",21,12,12,65,31,1
"85567","3/5/15",7,"CENTRAL/WESTERN",14,21,22,52,21,1
"85568","3/5/15",8,"CENTRAL/WESTERN",15,41,47,31,20,1
"85569","3/5/15",9,"CENTRAL/WESTERN",20,60,78,15,24,1
"85570","3/5/15",10,"CENTRAL/WESTERN",18,66,88,12,24,1
"85571","3/5/15",11,"CENTRAL/WESTERN",20,65,91,12,28,4
"85572","3/5/15",12,"CENTRAL/WESTERN",20,63,86,16,27,2
"85573","3/5/15",13,"CENTRAL/WESTERN",19,51,70,29,26,3
"85574","3/5/15",14,"CENTRAL/WESTERN",22,49,65,32,28,3
"85575","3/5/15",15,"CENTRAL/WESTERN",24,64,94,22,32,4
"85576","3/5/15",16,"CENTRAL/WESTERN",19,63,82,24,27,2
"85577","3/5/15",17,"CENTRAL/WESTERN",15,67,84,23,22,3
"85578","3/5/15",18,"CENTRAL/WESTERN",21,68,78,23,29,3
"85579","3/5/15",19,"CENTRAL/WESTERN",27,63,72,27,36,2
"85580","3/5/15",20,"CENTRAL/WESTERN",26,63,71,24,36,2
"85581","3/5/15",21,"CENTRAL/WESTERN",27,58,64,25,37,1
"85582","3/5/15",22,"CENTRAL/WESTERN",32,54,60,24,43,3
"85583","3/5/15",23,"CENTRAL/WESTERN",27,43,46,31,37,1
"85584","3/5/15",24,"CENTRAL/WESTERN",26,40,46,30,36,1
"85585","4/5/15",1,"CENTRAL/WESTERN",13,14,15,45,17,6
"85586","4/5/15",2,"CENTRAL/WESTERN",12,14,14,45,16,6
"85587","4/5/15",3,"CENTRAL/WESTERN",11,16,17,42,15,6
"85588","4/5/15",4,"CENTRAL/WESTERN",13,13,14,45,17,9
"85589","4/5/15",5,"CENTRAL/WESTERN",16,25,30,37,20,8
"85590","4/5/15",6,"CENTRAL/WESTERN",20,24,25,36,24,7
"85591","4/5/15",7,"CENTRAL/WESTERN",18,18,19,40,23,9
"85592","4/5/15",8,"CENTRAL/WESTERN",17,34,50,28,22,4
"85593","4/5/15",9,"CENTRAL/WESTERN",21,41,65,24,26,3
"85594","4/5/15",10,"CENTRAL/WESTERN",23,36,54,33,29,8
"85595","4/5/15",11,"CENTRAL/WESTERN",21,36,58,39,27,15
"85596","4/5/15",12,"CENTRAL/WESTERN",19,32,50,43,26,7
"85597","4/5/15",13,"CENTRAL/WESTERN",23,31,45,46,30,5
"85598","4/5/15",14,"CENTRAL/WESTERN",34,35,44,67,41,7
"85599","4/5/15",15,"CENTRAL/WESTERN",51,36,43,75,58,9
"85600","4/5/15",16,"CENTRAL/WESTERN",47,39,47,71,54,12
"85601","4/5/15",17,"CENTRAL/WESTERN",35,36,43,59,41,15
"85602","4/5/15",18,"CENTRAL/WESTERN",24,32,38,47,30,9
"85603","4/5/15",19,"CENTRAL/WESTERN",15,27,30,34,19,10
"85604","4/5/15",20,"CENTRAL/WESTERN",10,37,45,19,13,15
"85605","4/5/15",21,"CENTRAL/WESTERN",18,58,74,9,24,23
"85606","4/5/15",22,"CENTRAL/WESTERN",20,58,77,5,26,12
"85607","4/5/15",23,"CENTRAL/WESTERN",17,52,64,6,22,7
"85608","4/5/15",24,"CENTRAL/WESTERN",17,51,67,4,22,10
"85610","5/5/15",2,"CENTRAL/WESTERN",13,16,16,33,19,16
"85611","5/5/15",3,"CENTRAL/WESTERN",14,18,18,31,20,24
"85612","5/5/15",4,"CENTRAL/WESTERN",11,16,16,38,17,15
"85613","5/5/15",5,"CENTRAL/WESTERN",15,18,18,33,20,19
"85614","5/5/15",6,"CENTRAL/WESTERN",15,25,26,26,21,38
"85615","5/5/15",7,"CENTRAL/WESTERN",14,25,27,26,20,32
"85616","5/5/15",8,"CENTRAL/WESTERN",12,22,29,33,19,10
"85617","5/5/15",9,"CENTRAL/WESTERN",13,30,41,26,19,27
"85618","5/5/15",10,"CENTRAL/WESTERN",13,21,29,43,20,17
"85619","5/5/15",11,"CENTRAL/WESTERN",13,32,53,33,21,42
"85620","5/5/15",12,"CENTRAL/WESTERN",13,29,46,37,23,22
"85621","5/5/15",13,"CENTRAL/WESTERN",14,21,28,46,22,18
"85622","5/5/15",14,"CENTRAL/WESTERN",12,24,34,42,20,12
"85623","5/5/15",15,"CENTRAL/WESTERN",13,23,32,41,23,10
"85624","5/5/15",16,"CENTRAL/WESTERN",11,21,29,46,20,9
"85625","5/5/15",17,"CENTRAL/WESTERN",9,31,39,43,16,11
"85626","5/5/15",18,"CENTRAL/WESTERN",14,27,32,43,21,14
"85627","5/5/15",19,"CENTRAL/WESTERN",16,24,27,41,22,11
"85628","5/5/15",20,"CENTRAL/WESTERN",11,42,45,34,17,12
"85629","5/5/15",21,"CENTRAL/WESTERN",33,65,66,49,53,17
"85630","5/5/15",22,"CENTRAL/WESTERN",40,41,41,75,64,7
"85631","5/5/15",23,"CENTRAL/WESTERN",35,28,28,84,57,8
"85632","5/5/15",24,"CENTRAL/WESTERN",31,37,37,71,54,8
"85633","6/5/15",1,"CENTRAL/WESTERN",7,12,13,30,12,10
"85634","6/5/15",2,"CENTRAL/WESTERN",10,7,7,36,14,8
"85635","6/5/15",3,"CENTRAL/WESTERN",7,7,7,34,10,9
"85636","6/5/15",4,"CENTRAL/WESTERN",8,11,12,26,12,13
"85637","6/5/15",5,"CENTRAL/WESTERN",8,13,14,25,11,12
"85638","6/5/15",6,"CENTRAL/WESTERN",6,9,10,29,10,14
"85639","6/5/15",7,"CENTRAL/WESTERN",7,15,19,23,11,15
"85640","6/5/15",8,"CENTRAL/WESTERN",8,26,44,17,12,14
"85641","6/5/15",9,"CENTRAL/WESTERN",10,23,45,19,15,14
"85642","6/5/15",10,"CENTRAL/WESTERN",10,24,49,21,17,17
"85643","6/5/15",11,"CENTRAL/WESTERN",10,18,32,32,19,13
"85644","6/5/15",12,"CENTRAL/WESTERN",9,16,27,38,18,11
"85645","6/5/15",13,"CENTRAL/WESTERN",10,14,23,41,17,7
"85646","6/5/15",14,"CENTRAL/WESTERN",9,19,31,29,16,13
"85647","6/5/15",15,"CENTRAL/WESTERN",12,20,33,29,20,14
"85648","6/5/15",16,"CENTRAL/WESTERN",9,18,29,30,17,11
"85649","6/5/15",17,"CENTRAL/WESTERN",9,18,26,28,17,11
"85650","6/5/15",18,"CENTRAL/WESTERN",10,20,27,24,17,11
"85651","6/5/15",19,"CENTRAL/WESTERN",7,26,34,16,13,12
"85652","6/5/15",20,"CENTRAL/WESTERN",10,24,32,18,16,12
"85653","6/5/15",21,"CENTRAL/WESTERN",8,34,44,15,14,15
